Ball,Ball_No,Striker,Non_striker,Bowler,Runs_by_batsman,Total_runs,Strike_rate,Extras,Wides,No_balls,Byes,Leg_byes
70,21.5,CK Coventry,SC Williams,Naeem Islam,0,63,90,0,,,,
71,21.6,CK Coventry,SC Williams,Naeem Islam,1,64,90.14084507,0,,,,
72,22.1,CK Coventry,SC Williams,Enamul Haque jnr,1,65,90.27777778,0,,,,
73,23.1,CK Coventry,SC Williams,Naeem Islam,0,65,89.04109589,0,,,,
74,23.2,CK Coventry,SC Williams,Naeem Islam,1,66,89.18918919,0,,,,
75,24.1,CK Coventry,S Matsikenyeri,Enamul Haque jnr,1,67,89.33333333,0,,,,
76,24.6,CK Coventry,S Matsikenyeri,Enamul Haque jnr,0,67,88.15789474,0,,,,
77,25.2,CK Coventry,S Matsikenyeri,Naeem Islam,0,67,87.01298701,0,,,,
78,25.3,CK Coventry,S Matsikenyeri,Naeem Islam,2,69,88.46153846,0,,,,
79,25.4,CK Coventry,S Matsikenyeri,Naeem Islam,0,69,87.34177215,0,,,,
80,25.5,CK Coventry,S Matsikenyeri,Naeem Islam,1,70,87.5,0,,,,
81,26.3,CK Coventry,S Matsikenyeri,Mahmudullah,1,71,87.65432099,0,,,,
82,27.1,CK Coventry,S Matsikenyeri,Naeem Islam,0,71,86.58536585,0,,,,
83,27.2,CK Coventry,S Matsikenyeri,Naeem Islam,3,74,89.15662651,0,,,,
84,27.5,CK Coventry,S Matsikenyeri,Naeem Islam,0,74,88.0952381,0,,,,
85,27.6,CK Coventry,S Matsikenyeri,Naeem Islam,6,80,94.11764706,0,,,,
86,28.3,CK Coventry,S Matsikenyeri,Mahmudullah,1,81,94.18604651,0,,,,
87,29.5,CK Coventry,S Matsikenyeri,Enamul Haque jnr,0,81,93.10344828,0,,,,
88,29.6,CK Coventry,S Matsikenyeri,Enamul Haque jnr,1,82,93.18181818,0,,,,
89,30.1,CK Coventry,S Matsikenyeri,Shakib Al Hasan,2,84,94.38202247,0,,,,
90,30.2,CK Coventry,S Matsikenyeri,Shakib Al Hasan,1,85,94.44444444,0,,,,
91,30.5,CK Coventry,S Matsikenyeri,Shakib Al Hasan,0,85,93.40659341,0,,,,
92,30.6,CK Coventry,S Matsikenyeri,Shakib Al Hasan,1,86,93.47826087,0,,,,
93,31.1,CK Coventry,S Matsikenyeri,Mahmudullah,1,87,93.5483871,0,,,,
94,31.7,CK Coventry,S Matsikenyeri,Mahmudullah,4,91,96.80851064,0,,,,
95,32.2,CK Coventry,S Matsikenyeri,Mohammad Ashraful,1,92,96.84210526,0,,,,
96,32.5,CK Coventry,S Matsikenyeri,Mohammad Ashraful,0,92,95.83333333,0,,,,
97,32.6,CK Coventry,S Matsikenyeri,Mohammad Ashraful,0,92,94.84536082,0,,,,
98,33.3,CK Coventry,S Matsikenyeri,Mahbubul Alam,0,92,93.87755102,0,,,,
99,33.4,CK Coventry,S Matsikenyeri,Mahbubul Alam,1,93,93.93939394,0,,,,
100,34.2,CK Coventry,S Matsikenyeri,Naeem Islam,2,95,95,0,,,,
101,34.3,CK Coventry,S Matsikenyeri,Naeem Islam,1,96,95.04950495,0,,,,
102,35.1,CK Coventry,S Matsikenyeri,Mahbubul Alam,0,96,94.11764706,0,,,,
103,35.2,CK Coventry,S Matsikenyeri,Mahbubul Alam,0,96,93.2038835,0,,,,
104,35.3,CK Coventry,S Matsikenyeri,Mahbubul Alam,0,96,92.30769231,0,,,,
105,35.4,CK Coventry,S Matsikenyeri,Mahbubul Alam,0,96,91.42857143,1,,,1,
106,35.7,CK Coventry,S Matsikenyeri,Mahbubul Alam,1,97,91.50943396,0,,,,
107,36.1,CK Coventry,S Matsikenyeri,Mahmudullah,0,97,90.65420561,0,,,,
108,36.2,CK Coventry,S Matsikenyeri,Mahmudullah,1,98,90.74074074,0,,,,
109,36.4,CK Coventry,S Matsikenyeri,Mahmudullah,1,99,90.82568807,0,,,,
110,36.6,CK Coventry,S Matsikenyeri,Mahmudullah,1,100,90.90909091,0,,,,
111,37.2,CK Coventry,S Matsikenyeri,Mahbubul Alam,0,100,90.09009009,0,,,,
112,37.3,CK Coventry,S Matsikenyeri,Mahbubul Alam,1,101,90.17857143,0,,,,
113,37.5,CK Coventry,S Matsikenyeri,Mahbubul Alam,2,103,91.15044248,0,,,,
114,37.6,CK Coventry,S Matsikenyeri,Mahbubul Alam,6,109,95.61403509,0,,,,
115,37.7,CK Coventry,S Matsikenyeri,Mahbubul Alam,4,113,98.26086957,0,,,,
116,38.2,CK Coventry,S Matsikenyeri,Syed Rasel,1,114,98.27586207,0,,,,
117,38.5,CK Coventry,S Matsikenyeri,Syed Rasel,0,114,97.43589744,0,,,,
118,38.6,CK Coventry,S Matsikenyeri,Syed Rasel,0,114,96.61016949,0,,,,
119,39.4,CK Coventry,S Matsikenyeri,Shakib Al Hasan,2,116,97.4789916,0,,,,
120,39.5,CK Coventry,S Matsikenyeri,Shakib Al Hasan,0,116,96.66666667,0,,,,
121,39.6,CK Coventry,S Matsikenyeri,Shakib Al Hasan,2,118,97.52066116,0,,,,
122,39.7,CK Coventry,S Matsikenyeri,Shakib Al Hasan,4,122,100,0,,,,
123,40.2,CK Coventry,S Matsikenyeri,Syed Rasel,1,123,100,0,,,,
124,40.5,CK Coventry,S Matsikenyeri,Syed Rasel,4,127,102.4193548,0,,,,
125,40.6,CK Coventry,S Matsikenyeri,Syed Rasel,2,129,103.2,0,,,,
126,42.1,CK Coventry,E Chigumbura,Enamul Haque jnr,0,129,102.3809524,0,,,,
127,42.2,CK Coventry,E Chigumbura,Enamul Haque jnr,1,130,102.3622047,0,,,,
128,42.4,CK Coventry,E Chigumbura,Enamul Haque jnr,0,130,101.5625,0,,,,
129,42.5,CK Coventry,E Chigumbura,Enamul Haque jnr,4,134,103.875969,0,,,,
130,42.6,CK Coventry,E Chigumbura,Enamul Haque jnr,1,135,103.8461538,0,,,,
131,43.2,CK Coventry,E Chigumbura,Shakib Al Hasan,2,137,104.5801527,0,,,,
132,43.3,CK Coventry,E Chigumbura,Shakib Al Hasan,2,139,105.3030303,0,,,,
133,43.4,CK Coventry,E Chigumbura,Shakib Al Hasan,1,140,105.2631579,0,,,,
134,44.1,CK Coventry,E Chigumbura,Enamul Haque jnr,4,144,107.4626866,0,,,,
135,44.2,CK Coventry,E Chigumbura,Enamul Haque jnr,2,146,108.1481481,0,,,,
136,44.3,CK Coventry,E Chigumbura,Enamul Haque jnr,2,148,108.8235294,0,,,,
137,44.4,CK Coventry,E Chigumbura,Enamul Haque jnr,2,150,109.4890511,0,,,,
138,44.5,CK Coventry,E Chigumbura,Enamul Haque jnr,0,150,108.6956522,0,,,,
139,44.6,CK Coventry,E Chigumbura,Enamul Haque jnr,6,156,112.2302158,0,,,,
140,45.3,CK Coventry,E Chigumbura,Shakib Al Hasan,6,162,115.7142857,0,,,,
141,45.4,CK Coventry,E Chigumbura,Shakib Al Hasan,6,168,119.1489362,0,,,,
142,45.5,CK Coventry,E Chigumbura,Shakib Al Hasan,4,172,121.1267606,0,,,,
143,45.6,CK Coventry,E Chigumbura,Shakib Al Hasan,0,172,120.2797203,0,,,,
144,46.2,CK Coventry,E Chigumbura,Enamul Haque jnr,2,174,120.8333333,0,,,,
145,46.3,CK Coventry,E Chigumbura,Enamul Haque jnr,1,175,120.6896552,0,,,,
146,46.5,CK Coventry,MN Waller,Enamul Haque jnr,4,179,122.6027397,0,,,,
147,46.6,CK Coventry,MN Waller,Enamul Haque jnr,1,180,122.4489796,0,,,,
148,47.1,CK Coventry,MN Waller,Syed Rasel,1,181,122.2972973,0,,,,
149,47.4,CK Coventry,MN Waller,Syed Rasel,1,182,122.147651,0,,,,
150,47.7,CK Coventry,MN Waller,Syed Rasel,1,183,122,0,,,,
151,48.1,CK Coventry,MN Waller,Mahbubul Alam,0,183,121.192053,0,,,,
152,48.2,CK Coventry,MN Waller,Mahbubul Alam,6,189,124.3421053,0,,,,
153,48.3,CK Coventry,MN Waller,Mahbubul Alam,1,190,124.1830065,0,,,,
154,48.5,CK Coventry,MN Waller,Mahbubul Alam,1,191,124.025974,0,,,,
155,49.1,CK Coventry,T Mupariwa,Syed Rasel,1,192,123.8709677,0,,,,
156,49.6,CK Coventry,P Utseya,Syed Rasel,2,194,124.3589744,0,,,,
