Inning_No,Ball_No,Team_Name,Striker,Non_striker,Bowler,Runs_by_batsman,Extras,Wides,No_balls,Byes,Leg_byes,Penalty,Kind_of_wicket,Dismissed_Player
1,42.3,Zimbabwe,E Chigumbura,CK Coventry,Enamul Haque jnr,0,1,,,,1,,,
1,42.4,Zimbabwe,CK Coventry,E Chigumbura,Enamul Haque jnr,0,0,,,,,,,
1,42.5,Zimbabwe,CK Coventry,E Chigumbura,Enamul Haque jnr,4,0,,,,,,,
1,42.6,Zimbabwe,CK Coventry,E Chigumbura,Enamul Haque jnr,1,0,,,,,,,
1,43.1,Zimbabwe,CK Coventry,E Chigumbura,Shakib Al Hasan,0,1,1,,,,,,
1,43.2,Zimbabwe,CK Coventry,E Chigumbura,Shakib Al Hasan,2,0,,,,,,,
1,43.3,Zimbabwe,CK Coventry,E Chigumbura,Shakib Al Hasan,2,0,,,,,,,
1,43.4,Zimbabwe,CK Coventry,E Chigumbura,Shakib Al Hasan,1,0,,,,,,,
1,43.5,Zimbabwe,E Chigumbura,CK Coventry,Shakib Al Hasan,0,0,,,,,,,
1,43.6,Zimbabwe,E Chigumbura,CK Coventry,Shakib Al Hasan,2,0,,,,,,,
1,43.7,Zimbabwe,E Chigumbura,CK Coventry,Shakib Al Hasan,6,0,,,,,,,
1,44.1,Zimbabwe,CK Coventry,E Chigumbura,Enamul Haque jnr,4,0,,,,,,,
1,44.2,Zimbabwe,CK Coventry,E Chigumbura,Enamul Haque jnr,2,0,,,,,,,
1,44.3,Zimbabwe,CK Coventry,E Chigumbura,Enamul Haque jnr,2,0,,,,,,,
1,44.4,Zimbabwe,CK Coventry,E Chigumbura,Enamul Haque jnr,2,0,,,,,,,
1,44.5,Zimbabwe,CK Coventry,E Chigumbura,Enamul Haque jnr,0,0,,,,,,,
1,44.6,Zimbabwe,CK Coventry,E Chigumbura,Enamul Haque jnr,6,0,,,,,,,
1,45.1,Zimbabwe,E Chigumbura,CK Coventry,Shakib Al Hasan,4,0,,,,,,,
1,45.2,Zimbabwe,E Chigumbura,CK Coventry,Shakib Al Hasan,0,1,,,,1,,,
1,45.3,Zimbabwe,CK Coventry,E Chigumbura,Shakib Al Hasan,6,0,,,,,,,
1,45.4,Zimbabwe,CK Coventry,E Chigumbura,Shakib Al Hasan,6,0,,,,,,,
1,45.5,Zimbabwe,CK Coventry,E Chigumbura,Shakib Al Hasan,4,0,,,,,,,
1,45.6,Zimbabwe,CK Coventry,E Chigumbura,Shakib Al Hasan,0,0,,,,,,,
1,46.1,Zimbabwe,E Chigumbura,CK Coventry,Enamul Haque jnr,1,0,,,,,,,
1,46.2,Zimbabwe,CK Coventry,E Chigumbura,Enamul Haque jnr,2,0,,,,,,,
1,46.3,Zimbabwe,CK Coventry,E Chigumbura,Enamul Haque jnr,1,0,,,,,,,
1,46.4,Zimbabwe,E Chigumbura,CK Coventry,Enamul Haque jnr,0,0,,,,,,caught,E Chigumbura
1,46.5,Zimbabwe,CK Coventry,MN Waller,Enamul Haque jnr,4,0,,,,,,,
1,46.6,Zimbabwe,CK Coventry,MN Waller,Enamul Haque jnr,1,0,,,,,,,
1,47.1,Zimbabwe,CK Coventry,MN Waller,Syed Rasel,1,0,,,,,,,
1,47.2,Zimbabwe,MN Waller,CK Coventry,Syed Rasel,0,1,1,,,,,,
1,47.3,Zimbabwe,MN Waller,CK Coventry,Syed Rasel,1,0,,,,,,,
1,47.4,Zimbabwe,CK Coventry,MN Waller,Syed Rasel,1,0,,,,,,,
1,47.5,Zimbabwe,MN Waller,CK Coventry,Syed Rasel,0,0,,,,,,,
1,47.6,Zimbabwe,MN Waller,CK Coventry,Syed Rasel,1,0,,,,,,,
1,47.7,Zimbabwe,CK Coventry,MN Waller,Syed Rasel,1,0,,,,,,,
1,48.1,Zimbabwe,CK Coventry,MN Waller,Mahbubul Alam,0,0,,,,,,,
1,48.2,Zimbabwe,CK Coventry,MN Waller,Mahbubul Alam,6,0,,,,,,,
1,48.3,Zimbabwe,CK Coventry,MN Waller,Mahbubul Alam,1,0,,,,,,,
1,48.4,Zimbabwe,MN Waller,CK Coventry,Mahbubul Alam,1,0,,,,,,,
1,48.5,Zimbabwe,CK Coventry,MN Waller,Mahbubul Alam,1,0,,,,,,,
1,48.6,Zimbabwe,MN Waller,CK Coventry,Mahbubul Alam,0,0,,,,,,bowled,MN Waller
1,49.1,Zimbabwe,CK Coventry,T Mupariwa,Syed Rasel,1,0,,,,,,,
1,49.2,Zimbabwe,T Mupariwa,CK Coventry,Syed Rasel,0,0,,,,,,lbw,T Mupariwa
1,49.3,Zimbabwe,P Utseya,CK Coventry,Syed Rasel,4,0,,,,,,,
1,49.4,Zimbabwe,P Utseya,CK Coventry,Syed Rasel,2,0,,,,,,,
1,49.5,Zimbabwe,P Utseya,CK Coventry,Syed Rasel,1,0,,,,,,,
1,49.6,Zimbabwe,CK Coventry,P Utseya,Syed Rasel,2,0,,,,,,,
