Inning_No,Ball_No,Team_Name,Striker,Non_striker,Bowler,Runs_by_batsman,Extras,Wides,No_balls,Byes,Leg_byes,Penalty,Kind_of_wicket,Dismissed_Player
1,9.6,Zimbabwe,CK Coventry,H Masakadza,Shakib Al Hasan,1,0,,,,,,,
1,10.1,Zimbabwe,CK Coventry,H Masakadza,Enamul Haque jnr,1,0,,,,,,,
1,10.2,Zimbabwe,H Masakadza,CK Coventry,Enamul Haque jnr,1,0,,,,,,,
1,10.3,Zimbabwe,CK Coventry,H Masakadza,Enamul Haque jnr,1,0,,,,,,,
1,10.4,Zimbabwe,H Masakadza,CK Coventry,Enamul Haque jnr,0,0,,,,,,,
1,10.5,Zimbabwe,H Masakadza,CK Coventry,Enamul Haque jnr,0,0,,,,,,,
1,10.6,Zimbabwe,H Masakadza,CK Coventry,Enamul Haque jnr,0,0,,,,,,,
1,11.1,Zimbabwe,CK Coventry,H Masakadza,Mahmudullah,4,0,,,,,,,
1,11.2,Zimbabwe,CK Coventry,H Masakadza,Mahmudullah,0,0,,,,,,,
1,11.3,Zimbabwe,CK Coventry,H Masakadza,Mahmudullah,0,0,,,,,,,
1,11.4,Zimbabwe,CK Coventry,H Masakadza,Mahmudullah,4,0,,,,,,,
1,11.5,Zimbabwe,CK Coventry,H Masakadza,Mahmudullah,0,1,1,,,,,,
1,11.6,Zimbabwe,CK Coventry,H Masakadza,Mahmudullah,0,0,,,,,,,
1,11.7,Zimbabwe,CK Coventry,H Masakadza,Mahmudullah,1,0,,,,,,,
1,12.1,Zimbabwe,CK Coventry,H Masakadza,Shakib Al Hasan,0,0,,,,,,,
1,12.2,Zimbabwe,CK Coventry,H Masakadza,Shakib Al Hasan,0,0,,,,,,,
1,12.3,Zimbabwe,CK Coventry,H Masakadza,Shakib Al Hasan,4,0,,,,,,,
1,12.4,Zimbabwe,CK Coventry,H Masakadza,Shakib Al Hasan,0,0,,,,,,,
1,12.5,Zimbabwe,CK Coventry,H Masakadza,Shakib Al Hasan,1,0,,,,,,,
1,12.6,Zimbabwe,H Masakadza,CK Coventry,Shakib Al Hasan,2,0,,,,,,,
1,13.1,Zimbabwe,CK Coventry,H Masakadza,Enamul Haque jnr,1,0,,,,,,,
1,13.2,Zimbabwe,H Masakadza,CK Coventry,Enamul Haque jnr,0,0,,,,,,,
1,13.3,Zimbabwe,H Masakadza,CK Coventry,Enamul Haque jnr,1,0,,,,,,,
1,13.4,Zimbabwe,CK Coventry,H Masakadza,Enamul Haque jnr,1,0,,,,,,,
1,13.5,Zimbabwe,H Masakadza,CK Coventry,Enamul Haque jnr,1,0,,,,,,,
1,13.6,Zimbabwe,CK Coventry,H Masakadza,Enamul Haque jnr,0,0,,,,,,,
1,14.1,Zimbabwe,H Masakadza,CK Coventry,Shakib Al Hasan,1,0,,,,,,,
