Ball,Inning_No,Ball_No,Striker,Non_striker,Bowler,Runs_by_batsman,Runs_by_batsman,Strike_rate,Extras,Wides,No_balls,Byes,Leg_byes
45,1,13.4,CK Coventry,H Masakadza,Enamul Haque jnr,1,52,115.5555556,0,,,,
46,1,13.6,CK Coventry,H Masakadza,Enamul Haque jnr,0,52,113.0434783,0,,,,
47,1,14.2,CK Coventry,H Masakadza,Shakib Al Hasan,4,56,119.1489362,0,,,,
48,1,14.3,CK Coventry,H Masakadza,Shakib Al Hasan,0,56,116.6666667,0,,,,
49,1,14.4,CK Coventry,H Masakadza,Shakib Al Hasan,0,56,114.2857143,0,,,,
50,1,14.5,CK Coventry,H Masakadza,Shakib Al Hasan,0,56,112,0,,,,
51,1,14.6,CK Coventry,H Masakadza,Shakib Al Hasan,0,56,109.8039216,0,,,,
52,1,15.3,CK Coventry,BRM Taylor,Mohammad Ashraful,0,56,107.6923077,0,,,,
53,1,15.4,CK Coventry,BRM Taylor,Mohammad Ashraful,0,56,105.6603774,0,,,,
54,1,15.5,CK Coventry,BRM Taylor,Mohammad Ashraful,0,56,103.7037037,0,,,,
55,1,15.6,CK Coventry,BRM Taylor,Mohammad Ashraful,0,56,101.8181818,0,,,,
56,1,16.2,CK Coventry,BRM Taylor,Mahmudullah,0,56,100,0,,,,
57,1,16.3,CK Coventry,BRM Taylor,Mahmudullah,1,57,100,0,,,,
58,1,17.3,CK Coventry,BRM Taylor,Mohammad Ashraful,0,57,98.27586207,0,,,,
59,1,17.4,CK Coventry,BRM Taylor,Mohammad Ashraful,0,57,96.61016949,0,,,,
60,1,17.5,CK Coventry,BRM Taylor,Mohammad Ashraful,1,58,96.66666667,0,,,,
61,1,19.1,CK Coventry,BRM Taylor,Mohammad Ashraful,0,58,95.08196721,0,,,,
62,1,19.2,CK Coventry,BRM Taylor,Mohammad Ashraful,1,59,95.16129032,0,,,,
63,1,19.5,CK Coventry,BRM Taylor,Mohammad Ashraful,1,60,95.23809524,0,,,,
64,1,20.1,CK Coventry,BRM Taylor,Enamul Haque jnr,0,60,93.75,0,,,,
65,1,20.2,CK Coventry,BRM Taylor,Enamul Haque jnr,1,61,93.84615385,0,,,,
66,1,20.6,CK Coventry,SC Williams,Enamul Haque jnr,1,62,93.93939394,0,,,,
67,1,21.1,CK Coventry,SC Williams,Naeem Islam,0,62,92.53731343,0,,,,
68,1,21.2,CK Coventry,SC Williams,Naeem Islam,1,63,92.64705882,0,,,,
69,1,21.4,CK Coventry,SC Williams,Naeem Islam,0,63,91.30434783,0,,,,
