ball,1,1.6,Zimbabwe,CK Coventry,H Masakadza,Mahbubul Alam,0,0,,,,,,,
ball,1,2.1,Zimbabwe,H Masakadza,CK Coventry,Syed Rasel,0,0,,,,,,,
ball,1,2.2,Zimbabwe,H Masakadza,CK Coventry,Syed Rasel,0,0,,,,,,,
ball,1,2.3,Zimbabwe,H Masakadza,CK Coventry,Syed Rasel,0,0,,,,,,,
ball,1,2.4,Zimbabwe,H Masakadza,CK Coventry,Syed Rasel,0,0,,,,,,,
ball,1,2.5,Zimbabwe,H Masakadza,CK Coventry,Syed Rasel,0,0,,,,,,,
ball,1,2.6,Zimbabwe,H Masakadza,CK Coventry,Syed Rasel,0,0,,,,,,,
ball,1,3.1,Zimbabwe,CK Coventry,H Masakadza,Mahbubul Alam,0,0,,,,,,,
ball,1,3.2,Zimbabwe,CK Coventry,H Masakadza,Mahbubul Alam,1,0,,,,,,,
ball,1,3.3,Zimbabwe,H Masakadza,CK Coventry,Mahbubul Alam,0,0,,,,,,,
ball,1,3.4,Zimbabwe,H Masakadza,CK Coventry,Mahbubul Alam,2,0,,,,,,,
ball,1,3.5,Zimbabwe,H Masakadza,CK Coventry,Mahbubul Alam,6,0,,,,,,,
ball,1,3.6,Zimbabwe,H Masakadza,CK Coventry,Mahbubul Alam,0,0,,,,,,,
ball,1,4.1,Zimbabwe,CK Coventry,H Masakadza,Syed Rasel,0,0,,,,,,,
ball,1,4.2,Zimbabwe,CK Coventry,H Masakadza,Syed Rasel,4,0,,,,,,,
ball,1,4.3,Zimbabwe,CK Coventry,H Masakadza,Syed Rasel,0,0,,,,,,,
ball,1,4.4,Zimbabwe,CK Coventry,H Masakadza,Syed Rasel,0,0,,,,,,,
ball,1,4.5,Zimbabwe,CK Coventry,H Masakadza,Syed Rasel,1,0,,,,,,,
ball,1,4.6,Zimbabwe,H Masakadza,CK Coventry,Syed Rasel,0,0,,,,,,,
ball,1,5.1,Zimbabwe,CK Coventry,H Masakadza,Mahbubul Alam,0,0,,,,,,,
ball,1,5.2,Zimbabwe,CK Coventry,H Masakadza,Mahbubul Alam,0,1,1,,,,,,
ball,1,5.3,Zimbabwe,CK Coventry,H Masakadza,Mahbubul Alam,0,1,1,,,,,,
ball,1,5.4,Zimbabwe,CK Coventry,H Masakadza,Mahbubul Alam,0,0,,,,,,,
ball,1,5.5,Zimbabwe,CK Coventry,H Masakadza,Mahbubul Alam,0,0,,,,,,,
ball,1,5.6,Zimbabwe,CK Coventry,H Masakadza,Mahbubul Alam,0,0,,,,,,,
ball,1,5.7,Zimbabwe,CK Coventry,H Masakadza,Mahbubul Alam,0,0,,,,,,,
ball,1,5.8,Zimbabwe,CK Coventry,H Masakadza,Mahbubul Alam,0,0,,,,,,,
ball,1,6.1,Zimbabwe,H Masakadza,CK Coventry,Syed Rasel,0,0,,,,,,,
ball,1,6.2,Zimbabwe,H Masakadza,CK Coventry,Syed Rasel,0,0,,,,,,,
ball,1,6.3,Zimbabwe,H Masakadza,CK Coventry,Syed Rasel,1,0,,,,,,,
ball,1,6.4,Zimbabwe,CK Coventry,H Masakadza,Syed Rasel,0,0,,,,,,,
ball,1,6.5,Zimbabwe,CK Coventry,H Masakadza,Syed Rasel,1,0,,,,,,,
ball,1,6.6,Zimbabwe,H Masakadza,CK Coventry,Syed Rasel,4,0,,,,,,,
ball,1,7.1,Zimbabwe,CK Coventry,H Masakadza,Mahbubul Alam,6,0,,,,,,,
ball,1,7.2,Zimbabwe,CK Coventry,H Masakadza,Mahbubul Alam,2,0,,,,,,,
ball,1,7.3,Zimbabwe,CK Coventry,H Masakadza,Mahbubul Alam,2,0,,,,,,,
ball,1,7.4,Zimbabwe,CK Coventry,H Masakadza,Mahbubul Alam,4,0,,,,,,,
ball,1,7.5,Zimbabwe,CK Coventry,H Masakadza,Mahbubul Alam,0,1,1,,,,,,
ball,1,7.6,Zimbabwe,CK Coventry,H Masakadza,Mahbubul Alam,1,0,,,,,,,
ball,1,7.7,Zimbabwe,H Masakadza,CK Coventry,Mahbubul Alam,0,0,,,,,,,
ball,1,8.1,Zimbabwe,CK Coventry,H Masakadza,Syed Rasel,0,0,,,,,,,
ball,1,8.2,Zimbabwe,CK Coventry,H Masakadza,Syed Rasel,4,0,,,,,,,
ball,1,8.3,Zimbabwe,CK Coventry,H Masakadza,Syed Rasel,3,0,,,,,,,
ball,1,8.4,Zimbabwe,H Masakadza,CK Coventry,Syed Rasel,1,0,,,,,,,
ball,1,8.5,Zimbabwe,CK Coventry,H Masakadza,Syed Rasel,4,0,,,,,,,
ball,1,8.6,Zimbabwe,CK Coventry,H Masakadza,Syed Rasel,0,1,1,,,,,,
ball,1,8.7,Zimbabwe,CK Coventry,H Masakadza,Syed Rasel,0,0,,,,,,,
ball,1,9.1,Zimbabwe,H Masakadza,CK Coventry,Shakib Al Hasan,0,0,,,,,,,
ball,1,9.2,Zimbabwe,H Masakadza,CK Coventry,Shakib Al Hasan,0,0,,,,,,,
ball,1,9.3,Zimbabwe,H Masakadza,CK Coventry,Shakib Al Hasan,0,0,,,,,,,
ball,1,9.4,Zimbabwe,H Masakadza,CK Coventry,Shakib Al Hasan,1,0,,,,,,,
ball,1,9.5,Zimbabwe,CK Coventry,H Masakadza,Shakib Al Hasan,0,0,,,,,,,
ball,1,9.6,Zimbabwe,CK Coventry,H Masakadza,Shakib Al Hasan,1,0,,,,,,,
ball,1,10.1,Zimbabwe,CK Coventry,H Masakadza,Enamul Haque jnr,1,0,,,,,,,
ball,1,10.2,Zimbabwe,H Masakadza,CK Coventry,Enamul Haque jnr,1,0,,,,,,,
ball,1,10.3,Zimbabwe,CK Coventry,H Masakadza,Enamul Haque jnr,1,0,,,,,,,
ball,1,10.4,Zimbabwe,H Masakadza,CK Coventry,Enamul Haque jnr,0,0,,,,,,,
ball,1,10.5,Zimbabwe,H Masakadza,CK Coventry,Enamul Haque jnr,0,0,,,,,,,
ball,1,10.6,Zimbabwe,H Masakadza,CK Coventry,Enamul Haque jnr,0,0,,,,,,,
ball,1,11.1,Zimbabwe,CK Coventry,H Masakadza,Mahmudullah,4,0,,,,,,,
ball,1,11.2,Zimbabwe,CK Coventry,H Masakadza,Mahmudullah,0,0,,,,,,,
ball,1,11.3,Zimbabwe,CK Coventry,H Masakadza,Mahmudullah,0,0,,,,,,,
ball,1,11.4,Zimbabwe,CK Coventry,H Masakadza,Mahmudullah,4,0,,,,,,,
ball,1,11.5,Zimbabwe,CK Coventry,H Masakadza,Mahmudullah,0,1,1,,,,,,
ball,1,11.6,Zimbabwe,CK Coventry,H Masakadza,Mahmudullah,0,0,,,,,,,
ball,1,11.7,Zimbabwe,CK Coventry,H Masakadza,Mahmudullah,1,0,,,,,,,
ball,1,12.1,Zimbabwe,CK Coventry,H Masakadza,Shakib Al Hasan,0,0,,,,,,,
ball,1,12.2,Zimbabwe,CK Coventry,H Masakadza,Shakib Al Hasan,0,0,,,,,,,
ball,1,12.3,Zimbabwe,CK Coventry,H Masakadza,Shakib Al Hasan,4,0,,,,,,,
ball,1,12.4,Zimbabwe,CK Coventry,H Masakadza,Shakib Al Hasan,0,0,,,,,,,
ball,1,12.5,Zimbabwe,CK Coventry,H Masakadza,Shakib Al Hasan,1,0,,,,,,,
ball,1,12.6,Zimbabwe,H Masakadza,CK Coventry,Shakib Al Hasan,2,0,,,,,,,
ball,1,13.1,Zimbabwe,CK Coventry,H Masakadza,Enamul Haque jnr,1,0,,,,,,,
ball,1,13.2,Zimbabwe,H Masakadza,CK Coventry,Enamul Haque jnr,0,0,,,,,,,
ball,1,13.3,Zimbabwe,H Masakadza,CK Coventry,Enamul Haque jnr,1,0,,,,,,,
