Inn,Ball,Ball_no,Striker,Non_striker,Bowler,Runs_by_batsman,Extras,Wides,No_balls,Byes,Leg_byes,Penalty,Kind_of_wicket,Dismissed_player
1,269,43.6,"MS Dhoni","SR Tendulkar","WD Parnell",1,0,,,,,,,
1,270,44.1,"MS Dhoni","SR Tendulkar","JH Kallis",1,0,,,,,,,
1,271,44.2,"SR Tendulkar","MS Dhoni","JH Kallis",2,0,,,,,,,
1,272,44.3,"SR Tendulkar","MS Dhoni","JH Kallis",1,0,,,,,,,
1,273,44.4,"MS Dhoni","SR Tendulkar","JH Kallis",1,0,,,,,,,
1,274,44.5,"SR Tendulkar","MS Dhoni","JH Kallis",1,0,,,,,,,
1,275,44.6,"MS Dhoni","SR Tendulkar","JH Kallis",1,0,,,,,,,
1,276,45.1,"MS Dhoni","SR Tendulkar","WD Parnell",1,0,,,,,,,
1,277,45.2,"SR Tendulkar","MS Dhoni","WD Parnell",2,0,,,,,,,
1,278,45.3,"SR Tendulkar","MS Dhoni","WD Parnell",2,0,,,,,,,
1,279,45.4,"SR Tendulkar","MS Dhoni","WD Parnell",1,0,,,,,,,
1,280,45.5,"MS Dhoni","SR Tendulkar","WD Parnell",4,0,,,,,,,
1,281,45.6,"MS Dhoni","SR Tendulkar","WD Parnell",6,0,,,,,,,
1,282,46.1,"SR Tendulkar","MS Dhoni","DW Steyn",1,0,,,,,,,
1,283,46.2,"MS Dhoni","SR Tendulkar","DW Steyn",0,0,,,,,,,
1,284,46.3,"MS Dhoni","SR Tendulkar","DW Steyn",1,1,,1,,,,,
1,285,46.4,"SR Tendulkar","MS Dhoni","DW Steyn",0,0,,,,,,,
1,286,46.5,"SR Tendulkar","MS Dhoni","DW Steyn",1,0,,,,,,,
1,287,46.6,"MS Dhoni","SR Tendulkar","DW Steyn",4,0,,,,,,,
1,288,46.7,"MS Dhoni","SR Tendulkar","DW Steyn",1,0,,,,,,,
1,289,47.1,"MS Dhoni","SR Tendulkar","CK Langeveldt",0,0,,,,,,,
1,290,47.2,"MS Dhoni","SR Tendulkar","CK Langeveldt",1,0,,,,,,,
1,291,47.3,"SR Tendulkar","MS Dhoni","CK Langeveldt",0,0,,,,,,,
1,292,47.4,"SR Tendulkar","MS Dhoni","CK Langeveldt",1,0,,,,,,,
1,293,47.5,"MS Dhoni","SR Tendulkar","CK Langeveldt",0,0,,,,,,,
1,294,47.6,"MS Dhoni","SR Tendulkar","CK Langeveldt",1,0,,,,,,,
1,295,48.1,"MS Dhoni","SR Tendulkar","DW Steyn",0,0,,,,,,,
1,296,48.2,"MS Dhoni","SR Tendulkar","DW Steyn",6,0,,,,,,,
1,297,48.3,"MS Dhoni","SR Tendulkar","DW Steyn",0,0,,,,,,,
1,298,48.4,"MS Dhoni","SR Tendulkar","DW Steyn",4,0,,,,,,,
1,299,48.5,"MS Dhoni","SR Tendulkar","DW Steyn",6,0,,,,,,,
1,300,48.6,"MS Dhoni","SR Tendulkar","DW Steyn",1,0,,,,,,,
1,301,49.1,"MS Dhoni","SR Tendulkar","CK Langeveldt",6,0,,,,,,,
1,302,49.2,"MS Dhoni","SR Tendulkar","CK Langeveldt",1,0,,,,,,,
1,303,49.3,"SR Tendulkar","MS Dhoni","CK Langeveldt",1,0,,,,,,,
