Ball,Ball_No,Striker,Non_striker,Bowler,Runs_by_batsman,Total_runs,Strike_Rate,Extras,Wides,No_balls,Byes,Leg_byes
70,22.2,SR Tendulkar,KD Karthik,CK Langeveldt,0,87,124.2857143,0,,,,
71,22.3,SR Tendulkar,KD Karthik,CK Langeveldt,1,88,123.943662,0,,,,
72,22.5,SR Tendulkar,KD Karthik,CK Langeveldt,0,88,122.2222222,0,,,,
73,22.6,SR Tendulkar,KD Karthik,CK Langeveldt,0,88,120.5479452,0,,,,
74,23.2,SR Tendulkar,KD Karthik,JP Duminy,1,89,120.2702703,0,,,,
75,23.4,SR Tendulkar,KD Karthik,JP Duminy,2,91,121.3333333,0,,,,
76,23.5,SR Tendulkar,KD Karthik,JP Duminy,0,91,119.7368421,0,,,,
77,23.6,SR Tendulkar,KD Karthik,JP Duminy,0,91,118.1818182,0,,,,
78,24.4,SR Tendulkar,KD Karthik,JH Kallis,1,92,117.9487179,0,,,,
79,24.7,SR Tendulkar,KD Karthik,JH Kallis,1,93,117.721519,0,,,,
80,25.1,SR Tendulkar,KD Karthik,JP Duminy,0,93,116.25,0,,,,
81,25.2,SR Tendulkar,KD Karthik,JP Duminy,0,93,114.8148148,0,,,,
82,25.3,SR Tendulkar,KD Karthik,JP Duminy,1,94,114.6341463,0,,,,
83,25.5,SR Tendulkar,KD Karthik,JP Duminy,0,94,113.253012,0,,,,
84,25.6,SR Tendulkar,KD Karthik,JP Duminy,1,95,113.0952381,0,,,,
85,26.1,SR Tendulkar,KD Karthik,JH Kallis,1,96,112.9411765,0,,,,
86,26.6,SR Tendulkar,KD Karthik,JH Kallis,1,97,112.7906977,0,,,,
87,27.1,SR Tendulkar,KD Karthik,JP Duminy,0,97,111.4942529,0,,,,
88,27.2,SR Tendulkar,KD Karthik,JP Duminy,1,98,111.3636364,0,,,,
89,27.4,SR Tendulkar,KD Karthik,JP Duminy,1,99,111.2359551,0,,,,
90,27.6,SR Tendulkar,KD Karthik,JP Duminy,1,100,111.1111111,0,,,,
91,28.1,SR Tendulkar,KD Karthik,JH Kallis,4,104,114.2857143,0,,,,
92,28.2,SR Tendulkar,KD Karthik,JH Kallis,0,104,113.0434783,0,,,,
93,28.3,SR Tendulkar,KD Karthik,JH Kallis,4,108,116.1290323,0,,,,
94,28.4,SR Tendulkar,KD Karthik,JH Kallis,1,109,115.9574468,0,,,,
95,28.6,SR Tendulkar,KD Karthik,JH Kallis,0,109,114.7368421,0,,,,
96,29.3,SR Tendulkar,KD Karthik,JP Duminy,1,110,114.5833333,0,,,,
97,30.1,SR Tendulkar,KD Karthik,RE van der Merwe,0,110,113.4020619,0,,,,
98,30.2,SR Tendulkar,KD Karthik,RE van der Merwe,0,110,112.244898,0,,,,
99,30.3,SR Tendulkar,KD Karthik,RE van der Merwe,1,111,112.1212121,0,,,,
100,31.2,SR Tendulkar,KD Karthik,JP Duminy,6,117,117,0,,,,
101,31.3,SR Tendulkar,KD Karthik,JP Duminy,1,118,116.8316832,0,,,,
102,31.6,SR Tendulkar,KD Karthik,JP Duminy,4,122,119.6078431,0,,,,
103,32.2,SR Tendulkar,KD Karthik,RE van der Merwe,1,123,119.4174757,0,,,,
104,32.4,SR Tendulkar,KD Karthik,RE van der Merwe,1,124,119.2307692,0,,,,
105,34.1,SR Tendulkar,YK Pathan,DW Steyn,0,124,118.0952381,0,,,,
106,34.2,SR Tendulkar,YK Pathan,DW Steyn,4,128,120.754717,0,,,,
107,34.3,SR Tendulkar,YK Pathan,DW Steyn,0,128,119.6261682,0,,,,
108,34.4,SR Tendulkar,YK Pathan,DW Steyn,0,128,118.5185185,0,,,,
109,34.5,SR Tendulkar,YK Pathan,DW Steyn,4,132,121.1009174,0,,,,
110,34.6,SR Tendulkar,YK Pathan,DW Steyn,1,133,120.9090909,0,,,,
111,35.1,SR Tendulkar,YK Pathan,WD Parnell,1,134,120.7207207,0,,,,
112,35.3,SR Tendulkar,YK Pathan,WD Parnell,1,135,120.5357143,0,,,,
113,35.5,SR Tendulkar,YK Pathan,WD Parnell,4,139,123.0088496,0,,,,
114,35.6,SR Tendulkar,YK Pathan,WD Parnell,0,139,121.9298246,0,,,,
115,36.4,SR Tendulkar,YK Pathan,DW Steyn,4,143,124.3478261,0,,,,
116,36.5,SR Tendulkar,YK Pathan,DW Steyn,0,143,123.2758621,0,,,,
117,36.6,SR Tendulkar,YK Pathan,DW Steyn,4,147,125.6410256,0,,,,
118,37.3,SR Tendulkar,YK Pathan,WD Parnell,4,151,127.9661017,0,,,,
119,37.4,SR Tendulkar,YK Pathan,WD Parnell,1,152,127.7310924,0,,,,
120,38.1,SR Tendulkar,YK Pathan,CK Langeveldt,4,156,130,0,,,,
121,38.2,SR Tendulkar,YK Pathan,CK Langeveldt,0,156,128.9256198,0,,,,
122,38.4,SR Tendulkar,YK Pathan,CK Langeveldt,1,157,128.6885246,0,,,,
123,39.3,SR Tendulkar,YK Pathan,RE van der Merwe,0,157,127.6422764,0,,,,
124,39.4,SR Tendulkar,YK Pathan,RE van der Merwe,2,159,128.2258065,0,,,,
125,39.5,SR Tendulkar,YK Pathan,RE van der Merwe,1,160,128,0,,,,
126,40.1,SR Tendulkar,YK Pathan,CK Langeveldt,1,161,127.7777778,0,,,,
127,40.4,SR Tendulkar,YK Pathan,CK Langeveldt,1,162,127.5590551,0,,,,
128,40.6,SR Tendulkar,YK Pathan,CK Langeveldt,6,168,131.25,0,,,,
129,41.3,SR Tendulkar,MS Dhoni,RE van der Merwe,1,169,131.0077519,0,,,,
130,41.5,SR Tendulkar,MS Dhoni,RE van der Merwe,4,173,133.0769231,0,,,,
131,41.6,SR Tendulkar,MS Dhoni,RE van der Merwe,6,179,136.6412214,0,,,,
132,42.2,SR Tendulkar,MS Dhoni,JH Kallis,1,180,136.3636364,0,,,,
133,42.5,SR Tendulkar,MS Dhoni,JH Kallis,2,182,136.8421053,0,,,,
134,42.6,SR Tendulkar,MS Dhoni,JH Kallis,4,186,138.8059701,0,,,,
135,43.2,SR Tendulkar,MS Dhoni,WD Parnell,1,187,138.5185185,0,,,,
136,44.2,SR Tendulkar,MS Dhoni,JH Kallis,2,189,138.9705882,0,,,,
137,44.3,SR Tendulkar,MS Dhoni,JH Kallis,1,190,138.6861314,0,,,,
138,44.5,SR Tendulkar,MS Dhoni,JH Kallis,1,191,138.4057971,0,,,,
139,45.2,SR Tendulkar,MS Dhoni,WD Parnell,2,193,138.8489209,0,,,,
140,45.3,SR Tendulkar,MS Dhoni,WD Parnell,2,195,139.2857143,0,,,,
141,45.4,SR Tendulkar,MS Dhoni,WD Parnell,1,196,139.0070922,0,,,,
142,46.1,SR Tendulkar,MS Dhoni,DW Steyn,1,197,138.7323944,0,,,,
143,46.4,SR Tendulkar,MS Dhoni,DW Steyn,0,197,137.7622378,0,,,,
144,46.5,SR Tendulkar,MS Dhoni,DW Steyn,1,198,137.5,0,,,,
145,47.3,SR Tendulkar,MS Dhoni,CK Langeveldt,0,198,136.5517241,0,,,,
146,47.4,SR Tendulkar,MS Dhoni,CK Langeveldt,1,199,136.3013699,0,,,,
147,49.3,SR Tendulkar,MS Dhoni,CK Langeveldt,1,200,136.0544218,0,,,,
